pair	timestamp	bid	ask	last_trade	rolling_24_hour_volume	status
XRPZAR	1655481620562	5.25000000	5.26000000	5.26000000	4881965.00000000	ACTIVE
XRPZAR	1655483429174	5.25000000	5.26000000	5.26000000	4888322.00000000	ACTIVE
XRPZAR	1655485238270	5.20000000	5.21000000	5.21000000	4814160.00000000	ACTIVE
XRPZAR	1655487047562	5.21000000	5.22000000	5.22000000	4820880.00000000	ACTIVE
XRPZAR	1655488856792	5.21000000	5.23000000	5.23000000	4723098.00000000	ACTIVE
XRPZAR	1655490666056	5.22000000	5.23000000	5.23000000	4740647.00000000	ACTIVE
XRPZAR	1655492475850	5.20000000	5.21000000	5.21000000	4711703.00000000	ACTIVE
XRPZAR	1655494285167	5.19000000	5.20000000	5.20000000	4772135.00000000	ACTIVE
XRPZAR	1655496094917	5.19000000	5.20000000	5.20000000	4766816.00000000	ACTIVE
XRPZAR	1655497904129	5.23000000	5.24000000	5.26000000	4772030.00000000	ACTIVE
XRPZAR	1655499713314	5.24000000	5.25000000	5.25000000	4559315.00000000	ACTIVE
XRPZAR	1655501522353	5.22000000	5.23000000	5.23000000	4411084.00000000	ACTIVE
XRPZAR	1655503331550	5.25000000	5.26000000	5.26000000	4315078.00000000	ACTIVE
XRPZAR	1655505140745	5.23000000	5.24000000	5.22000000	4301382.00000000	ACTIVE
XRPZAR	1655506950014	5.23000000	5.25000000	5.25000000	4299495.00000000	ACTIVE
XRPZAR	1655508759633	5.26000000	5.28000000	5.28000000	4154690.00000000	ACTIVE
XRPZAR	1655510568670	5.24000000	5.26000000	5.25000000	4126240.00000000	ACTIVE
XRPZAR	1655512379213	5.32000000	5.33000000	5.32000000	4123633.00000000	ACTIVE
XRPZAR	1655514188510	5.29000000	5.30000000	5.30000000	4060286.00000000	ACTIVE
XRPZAR	1655515997609	5.25000000	5.26000000	5.27000000	4016167.00000000	ACTIVE
XRPZAR	1655517806841	5.19000000	5.20000000	5.20000000	3955807.00000000	ACTIVE
XRPZAR	1655519615859	5.21000000	5.22000000	5.22000000	3800167.00000000	ACTIVE
XRPZAR	1655521425053	5.22000000	5.23000000	5.23000000	3766679.00000000	ACTIVE
XRPZAR	1655523234151	5.23000000	5.24000000	5.24000000	3746789.00000000	ACTIVE
XRPZAR	1655525044110	5.23000000	5.24000000	5.24000000	3708608.00000000	ACTIVE
XRPZAR	1655526853380	5.23000000	5.24000000	5.24000000	3445952.00000000	ACTIVE
XRPZAR	1655528662468	5.25000000	5.26000000	5.26000000	3335132.00000000	ACTIVE
XRPZAR	1655530471580	5.24000000	5.25000000	5.25000000	3299346.00000000	ACTIVE
XRPZAR	1655532280679	5.23000000	5.24000000	5.24000000	3158622.00000000	ACTIVE
XRPZAR	1655534090043	5.23000000	5.24000000	5.24000000	3091540.00000000	ACTIVE
XRPZAR	1655535899411	5.08000000	5.09000000	5.09000000	3143244.00000000	ACTIVE
XRPZAR	1655537708665	5.06000000	5.07000000	5.06000000	3168372.00000000	ACTIVE
XRPZAR	1655539517970	5.04000000	5.05000000	5.05000000	3166316.00000000	ACTIVE
XRPZAR	1655541327035	5.02000000	5.03000000	5.02000000	3305792.00000000	ACTIVE
XRPZAR	1655543136804	4.97000000	4.98000000	4.98000000	3398149.00000000	ACTIVE
XRPZAR	1655544945958	5.00000000	5.01000000	5.01000000	3423300.00000000	ACTIVE
XRPZAR	1655546755433	5.02000000	5.03000000	5.03000000	3388123.00000000	ACTIVE
XRPZAR	1655548565089	5.05000000	5.06000000	5.06000000	3458255.00000000	ACTIVE
XRPZAR	1655550374300	5.05000000	5.06000000	5.07000000	3252655.00000000	ACTIVE
XRPZAR	1655552183475	5.06000000	5.07000000	5.07000000	3240972.00000000	ACTIVE
XRPZAR	1655553992545	5.02000000	5.03000000	5.03000000	3254909.00000000	ACTIVE
XRPZAR	1655555801622	5.04000000	5.05000000	5.05000000	3369415.00000000	ACTIVE
XRPZAR	1655557610977	5.01000000	5.02000000	5.02000000	3378117.00000000	ACTIVE
XRPZAR	1655559420246	5.05000000	5.06000000	5.06000000	3297251.00000000	ACTIVE
XRPZAR	1655561229494	5.07000000	5.08000000	5.07000000	3241690.00000000	ACTIVE
XRPZAR	1655563039253	5.05000000	5.06000000	5.05000000	3291132.00000000	ACTIVE
XRPZAR	1655564848673	5.01000000	5.02000000	5.02000000	3308241.00000000	ACTIVE
XRPZAR	1655566658018	5.02000000	5.03000000	5.03000000	3272727.00000000	ACTIVE
XRPZAR	1655568468267	5.01000000	5.02000000	5.01000000	3170640.00000000	ACTIVE
XRPZAR	1655570277426	5.04000000	5.05000000	5.05000000	3186102.00000000	ACTIVE
XRPZAR	1655571620957	4.99000000	5.00000000	5.00000000	3178167.00000000	ACTIVE
XRPZAR	1655573430106	4.97000000	5.00000000	4.97000000	3269703.00000000	ACTIVE
